snapped_at,price,market_cap,total_volume
2025-02-15 00:00:00 UTC,0.0017034579145719666,0.0,18890304.6499536
2025-02-16 00:00:00 UTC,0.001699478213863047,0.0,10267175.136695534
2025-02-17 00:00:00 UTC,0.001688726249050319,0.0,8474140.059801491
2025-02-18 00:00:00 UTC,0.001655478812612252,0.0,10568030.502811003
2025-02-19 00:00:00 UTC,0.0015841339439244047,0.0,9462329.2071323
2025-02-20 00:00:00 UTC,0.0016534203387617936,0.0,7856150.1244578995
2025-02-21 00:00:00 UTC,0.001677873473238753,0.0,7035707.489061277
2025-02-22 00:00:00 UTC,0.001603465276783113,0.0,12764497.101448731
2025-02-23 00:00:00 UTC,0.0017043652871478513,0.0,9369190.954731308
2025-02-24 00:00:00 UTC,0.001651643965157754,0.0,7152112.4748888435
2025-02-25 00:00:00 UTC,0.0014282975389905395,0.0,11969428.735499712
2025-02-26 00:00:00 UTC,0.0014775270843149064,0.0,15707394.20900734
2025-02-27 00:00:00 UTC,0.0014709100108390234,0.0,9948143.12852619
2025-02-28 00:00:00 UTC,0.0014650585158862428,0.0,9662912.057728583
2025-03-01 00:00:00 UTC,0.0014605257103890601,0.0,13153054.116874393
2025-03-02 00:00:00 UTC,0.001442682924735892,0.0,5920432.327607194
2025-03-03 00:00:00 UTC,0.0015643134373861136,0.0,10055067.72558418
2025-03-04 00:00:00 UTC,0.001298916690214872,0.0,11739994.141785128
2025-03-05 00:00:00 UTC,0.0012860562018702781,0.0,12318226.77615317
2025-03-06 00:00:00 UTC,0.001313636184193991,0.0,5847340.220683859
2025-03-07 00:00:00 UTC,0.0012811958561273775,0.0,5768448.973562254
2025-03-08 00:00:00 UTC,0.0012729366200076502,0.0,6431791.248498428
2025-03-09 00:00:00 UTC,0.001257639890488802,0.0,4052013.726281979
2025-03-10 00:00:00 UTC,0.0011105042631879406,0.0,6180427.10126268
2025-03-11 00:00:00 UTC,0.0011036956450423306,0.0,9185446.324808981
2025-03-12 00:00:00 UTC,0.001171539243989151,0.0,9171344.572451407
2025-03-13 00:00:00 UTC,0.0011961054669276294,0.0,5935026.30253556
2025-03-14 00:00:00 UTC,0.0011849599927536106,0.0,5972905.8030007
2025-03-15 00:00:00 UTC,0.0012258760943256659,0.0,4715709.9043917935
2025-03-16 00:00:00 UTC,0.0012622783378673883,0.0,4313314.14947935
2025-03-17 00:00:00 UTC,0.0012123431514847645,0.0,4497006.779296011
2025-03-18 00:00:00 UTC,0.0013314975173847926,0.0,12569555.24893932
2025-03-19 00:00:00 UTC,0.0013224701307307542,0.0,5664808.873402807
2025-03-20 00:00:00 UTC,0.0013573831842348962,0.0,5589081.672663782
2025-03-21 00:00:00 UTC,0.0013263384579442266,0.0,5014401.198296725
2025-03-22 00:00:00 UTC,0.0013205968325547602,0.0,4457256.139380964
2025-03-23 00:00:00 UTC,0.001345222557153614,0.0,5684808.151432668
2025-03-24 00:00:00 UTC,0.001338804977286623,0.0,4128906.4688264937
2025-03-25 00:00:00 UTC,0.0013813426171294715,0.0,5256855.917946317
2025-03-26 00:00:00 UTC,0.001419978696791506,0.0,6722712.0711749075
2025-03-27 00:00:00 UTC,0.0013899003759076766,0.0,8038431.107008309
2025-03-28 00:00:00 UTC,0.0013836234285630222,0.0,4749161.733933687
2025-03-29 00:00:00 UTC,0.0012659700781503008,0.0,4883277.346735036
2025-03-30 00:00:00 UTC,0.001198614568821826,0.0,4479466.884959209
2025-03-31 00:00:00 UTC,0.0012027946893410555,0.0,3892785.211571384
2025-04-01 00:00:00 UTC,0.0011925580412377559,0.0,4014685.4218844986
2025-04-02 00:00:00 UTC,0.0012198556093415988,0.0,4294090.031508364
2025-04-03 00:00:00 UTC,0.001123434270838926,0.0,5557273.044878199
2025-04-04 00:00:00 UTC,0.0011554011101276326,0.0,3844545.1429568967
2025-04-05 00:00:00 UTC,0.0011671739181845432,0.0,4152858.2321509067
2025-04-06 00:00:00 UTC,0.0011654469266949134,0.0,2328943.5959380395
2025-04-07 00:00:00 UTC,0.0010475224872861597,0.0,3628666.402635535
2025-04-08 00:00:00 UTC,0.001088434239163273,0.0,6144928.250773853
2025-04-09 00:00:00 UTC,0.001048351669274895,0.0,3172315.047224572
2025-04-10 00:00:00 UTC,0.0011544849857361493,0.0,4695958.26358213
2025-04-11 00:00:00 UTC,0.0011357026105959572,0.0,3759856.4936130596
2025-04-12 00:00:00 UTC,0.0011782488419151312,0.0,4202717.80393499
2025-04-13 00:00:00 UTC,0.0012280549012792625,0.0,3060305.2925589625
2025-04-14 00:00:00 UTC,0.0011655268288244184,0.0,4005121.570807427
2025-04-15 00:00:00 UTC,0.0011594423354681436,0.0,2715194.4783140304
2025-04-16 00:00:00 UTC,0.0011229055528312985,0.0,2963606.663377538
2025-04-17 00:00:00 UTC,0.0011527840316888415,0.0,4212075.767584539
2025-04-18 00:00:00 UTC,0.001201151326794378,0.0,3768907.40973076
2025-04-19 00:00:00 UTC,0.0012856756155166648,0.0,14636133.091855425
2025-04-20 00:00:00 UTC,0.0012722453439084746,0.0,4305390.384184137
2025-04-21 00:00:00 UTC,0.001268169890928818,0.0,3880760.0557274544
2025-04-22 00:00:00 UTC,0.0012665110151377733,0.0,3797963.2939226897
2025-04-23 00:00:00 UTC,0.001377750364755683,0.0,6945922.775302493
2025-04-24 00:00:00 UTC,0.0014328014802523837,0.0,10270887.47040422
2025-04-25 00:00:00 UTC,0.0013912174243611239,0.0,7069187.731594193
2025-04-26 00:00:00 UTC,0.0014394865424452567,0.0,6728509.821650368
2025-04-27 00:00:00 UTC,0.0014506271592111032,0.0,7332449.69556382
2025-04-28 00:00:00 UTC,0.001330908732857963,0.0,3951766.18775736
2025-04-29 00:00:00 UTC,0.0013123880667050896,0.0,5917715.892447955
2025-04-30 00:00:00 UTC,0.0013006139933722694,0.0,3710077.776959924
2025-05-01 00:00:00 UTC,0.0012855100454841428,0.0,4911519.230660166
2025-05-02 00:00:00 UTC,0.0013190922863551226,0.0,3289821.2064469354
2025-05-03 00:00:00 UTC,0.0013371762610288388,0.0,3310385.8921214193
2025-05-04 00:00:00 UTC,0.0012616798827261983,0.0,2061043.846024691
2025-05-05 00:00:00 UTC,0.0012178870051328117,0.0,2071715.8602977025
2025-05-06 00:00:00 UTC,0.0012287245342927165,0.0,2948493.93866181
2025-05-07 00:00:00 UTC,0.0012630225284845937,0.0,3936501.6294527813
2025-05-08 00:00:00 UTC,0.0012570857814003767,0.0,2796966.0512861516
2025-05-09 00:00:00 UTC,0.0014409710939774422,0.0,4983503.7166379625
2025-05-10 00:00:00 UTC,0.0016309411531416425,0.0,16064422.968293754
2025-05-11 00:00:00 UTC,0.0018094582361834928,0.0,42739427.67781246
2025-05-12 00:00:00 UTC,0.0017553115443353076,0.0,14461965.714930834
2025-05-13 00:00:00 UTC,0.0017356276410299362,0.0,18422400.03111211
2025-05-14 00:00:00 UTC,0.0020111981702392407,0.0,49216660.42216294
2025-05-15 00:00:00 UTC,0.0018452102241568451,0.0,12991135.432915147
2025-05-16 00:00:00 UTC,0.0017150237605789958,0.0,11325330.296121467
2025-05-17 00:00:00 UTC,0.0016771086858719583,0.0,8237371.097372601
2025-05-18 00:00:00 UTC,0.0015941115089554976,0.0,7780465.70092023
2025-05-19 00:00:00 UTC,0.0017176754949944596,0.0,10416129.802109867
2025-05-20 00:00:00 UTC,0.0016722913929930194,0.0,7178285.784078891
2025-05-21 00:00:00 UTC,0.0016913972992526865,0.0,5866705.872706606
2025-05-22 00:00:00 UTC,0.0017568173744872686,0.0,6639667.724124378
2025-05-23 00:00:00 UTC,0.0018542521128674177,0.0,8048799.939407967
2025-05-24 00:00:00 UTC,0.001650271881658253,0.0,11449977.570857784
2025-05-25 00:00:00 UTC,0.001679192432229097,0.0,3707901.3646855964
2025-05-26 00:00:00 UTC,0.0016984823795338346,0.0,4999211.0799291385
2025-05-27 00:00:00 UTC,0.0016464094710555584,0.0,5477521.444890283
2025-05-28 00:00:00 UTC,0.0016714125809226016,0.0,4539823.084644008
2025-05-29 00:00:00 UTC,0.001653038007084277,0.0,3982326.26694367
2025-05-30 00:00:00 UTC,0.0015602698694725196,0.0,4176011.3806727338
